link,text,date,no_of_likes,no_of_comments
https://twitter.com/Nguzoone/status/1815066155025052079#m,"""Nyinyi watu ya bodaboda,..mama mboga...."" Eleza muktadha wa dondoo hii😀. #RutoMustGo #OccupyJKIA","Jul 21, 2024 · 4:47 PM UTC",1,0
https://twitter.com/allanwanjohi1/status/1815065730468958233#m,How I wish but not when we have a madman for president #RutoMustGo #OccupyJKIA,"Jul 21, 2024 · 4:46 PM UTC",0,0
https://twitter.com/AllenohAllan/status/1815065715164041656#m,#OccupyJKIA,"Jul 21, 2024 · 4:46 PM UTC",0,0
https://twitter.com/iDedan_/status/1814764763433275402#m,"Eventually, facts and the truth shall prevail over falsehoods, deception and the oppressive mechanisations of the neocolonial agents of imperialism kenya.  #RutoMustGoNow #OccupyJKIA Hanifa #OccupyCBDTuesday #OccupyStatehouse","Jul 20, 2024 · 8:50 PM UTC",0,0
https://twitter.com/iDedan_/status/1814749676983198205#m,"Kenya ismame kwanza tuamue nani ataendelea nasisi nani atashuka.   We can't continue this way!!  Wenye tutauawa tukufe, wenye mtabaki mpate maisha poa.  Iam ready to die for better KENYA   #RutoMustGo #OccupyStatehouse #OccupyKenya #OccupyJKIA #MakeItUngovernable  ☠️💀🇰🇪🇰🇪🇰🇪💀☠️","Jul 20, 2024 · 7:50 PM UTC",4,0
https://twitter.com/subaKnight/status/1814748776189264277#m,COMRADES POWER!  COMRADES POWER!  DO NOT LET A THIEF STEAL YOUR MONEY AND DREAMS!  #RutoMustGo #Tuesday #OccupyStateHouse,"Jul 20, 2024 · 7:46 PM UTC",0,0
https://twitter.com/iDedan_/status/1814747938721312985#m,"The person who adviced @WilliamsRuto to ignore the people's listed demands, won't be there when the situation gets out of hands.   It won't be easy going forward. #OccupyKenya #OccupyCBDTuesday #OccupyStatehouse #OccupyParliament #OccupyJKIA","Jul 20, 2024 · 7:43 PM UTC",0,0
https://twitter.com/subaKnight/status/1814686829741740478#m,President William Ruto is a STOOGE of the WEST.  He loves IMF and WORLD BANK than KENYA.  His REIGN will destroy KENYA.  #RutoMustGo #OccupyKenya #OccupyStateHouse,"Jul 20, 2024 · 3:40 PM UTC",20,0
https://twitter.com/mz33_babu/status/1814648908934467891#m,"A fish rots from the head down! #OccupyStateHouse is the only play. They are killing people in CBD, this protected area nonsense is to prevent the march to state house. Either way, Ruto has proven that he'll kill us. Might as well do it on the match to state house.   #RutoMustGo","Jul 20, 2024 · 1:09 PM UTC",0,0
https://twitter.com/Koketch001/status/1814640447970578696#m,#OccupyEverywhere #OccupyCBDTuesday #OccupyKenya #OccupyStateHouse. #RejectCabinetOfLooters #RejectFinanceBill2024,"Jul 20, 2024 · 12:36 PM UTC",0,0
https://twitter.com/Babaas20/status/1814526314587500846#m,#OccupyStateHouse  ??? Am in!!💪🏾,"Jul 20, 2024 · 5:02 AM UTC",0,0
https://twitter.com/tash_ndei/status/1814380387541627181#m,Okiya Omtatah-The 6th awarding Ombachi as the best Sports CS after #occupystatehouse on Tuesday,"Jul 19, 2024 · 7:22 PM UTC",16,3
https://twitter.com/Murithi_Peter31/status/1814348579152015378#m,Guys let's mobilize our energy towards a common goal.  #OccupyStateHouse That's where the rot is!!   #OccupyStateHouse,"Jul 19, 2024 · 5:16 PM UTC",0,0
https://twitter.com/maxyz_KE/status/1814330157039341593#m,Let's #OccupyJKIA #OccupyStatehouse na Mombasa patriots wa #OccupyPort,"Jul 19, 2024 · 4:03 PM UTC",0,0
https://twitter.com/quimqim/status/1814320296255430732#m,#occupystatehouse,"Jul 19, 2024 · 3:24 PM UTC",1,0
https://twitter.com/Munyas_a/status/1814320226424471883#m,Kesho naenda kutafuta flag 🇰🇪  Kitaeleweka! #RutoMustGo #OccupyStateHouse,"Jul 19, 2024 · 3:23 PM UTC",11,4
https://twitter.com/TheIntern254/status/1814314504588603406#m,"Tuesday is Tuesday, we must fix this nation, naona Tuapatane Tuesday and #Occupystatehouse #RutoMustGo #RutoMustGoNow  Wametuzoea","Jul 19, 2024 · 3:01 PM UTC",4,0
https://twitter.com/peakyfkn/status/1814304116488675425#m,"Tungekuwa tumemalizana na huyu jamaa Ile siku ya #OccupyStateHouse wajinga fulani wakatuingiza baridi, MBWA","Jul 19, 2024 · 2:19 PM UTC",20,2
https://twitter.com/Pomigot/status/1814295143282811178#m,Tufikishe salamu @statehouse sasa.  Huyu fala hasikii naona....  #RutoMustGoNow #Occupystatehouse #DrainTheSwamp,"Jul 19, 2024 · 1:44 PM UTC",0,0
https://twitter.com/MToroitich_/status/1814293945733775494#m,Itabidi sasa tume #occupystatehouse ndio ajue tuko serious #RutoMustGo,"Jul 19, 2024 · 1:39 PM UTC",0,0
https://twitter.com/oliveradeka/status/1814257621995548797#m,"These prayer men and women should be talking of refunding the monies that were paid for being in an illegal appointment,  in an unconstitutional office buanaaaa! What is? Use these funds to pad #medicalinterns #RutoMustGo #Maandamano should be reloaded! #occupyStatehouse","Jul 19, 2024 · 11:14 AM UTC",0,0
